geneSet,userId.unfiltered_results,userId.filtered_results
GO:0000070,ATM,ATM
GO:0000070,BOD1,BOD1
GO:0000070,BUB1B,BUB1B
GO:0000070,CDC14B,CDC14B
GO:0000070,DYNC1LI1,DYNC1LI1
GO:0000070,HIRA,HIRA
GO:0000070,INCENP,INCENP
GO:0000070,NUP62,NUP62
GO:0000070,PIBF1,PIBF1
GO:0000070,PRC1,PRC1
GO:0000070,RAB11A,RAB11A
GO:0000070,PSRC1,NA
GO:0000070,CDC27,NA
GO:0000070,CDC6,NA
GO:0000280,ATM,ATM
GO:0000280,BOD1,BOD1
GO:0000280,BUB1B,BUB1B
GO:0000280,CDC14B,CDC14B
GO:0000280,DYNC1LI1,DYNC1LI1
GO:0000280,HIRA,HIRA
GO:0000280,INCENP,INCENP
GO:0000280,NUP62,NUP62
GO:0000280,PIBF1,PIBF1
GO:0000280,PRC1,PRC1
GO:0000280,RAB11A,RAB11A
GO:0000280,BRCA2,BRCA2
GO:0000280,LIF,LIF
GO:0000280,CDK13,CDK13
GO:0000280,PSRC1,NA
GO:0000280,C11orf80,NA
GO:0000280,CDC27,NA
GO:0000280,CDC6,NA
GO:0000280,TUBB8,NA
GO:0000819,ATM,ATM
GO:0000819,BOD1,BOD1
GO:0000819,BUB1B,BUB1B
GO:0000819,CDC14B,CDC14B
GO:0000819,DYNC1LI1,DYNC1LI1
GO:0000819,HIRA,HIRA
GO:0000819,INCENP,INCENP
GO:0000819,NUP62,NUP62
GO:0000819,PIBF1,PIBF1
GO:0000819,PRC1,PRC1
GO:0000819,RAB11A,RAB11A
GO:0000819,PSRC1,NA
GO:0000819,CDC27,NA
GO:0000819,CDC6,NA
GO:0000910,INCENP,INCENP
GO:0000910,NUP62,NUP62
GO:0000910,PRC1,PRC1
GO:0000910,RAB11A,RAB11A
GO:0000910,BRCA2,BRCA2
GO:0000910,STAMBP,STAMBP
GO:0000910,ANK3,ANK3
GO:0000910,SPTBN1,NA
GO:0000910,ALKBH4,NA
GO:0000910,BBS4,NA
GO:0000910,CDC6,NA
GO:0006470,BOD1,BOD1
GO:0006470,CDC14B,CDC14B
GO:0006470,DNAJC6,DNAJC6
GO:0006470,EYA1,EYA1
GO:0006470,PTP4A1,PTP4A1
GO:0006470,PTPN14,PTPN14
GO:0006470,PTPRK,PTPRK
GO:0006470,PTPRT,PTPRT
GO:0006470,TPTE,TPTE
GO:0006470,MFHAS1,MFHAS1
GO:0006470,NUAK1,NUAK1
GO:0006470,PPM1E,PPM1E
GO:0006470,PPP4R4,PPP4R4
GO:0006470,TAB1,TAB1
GO:0006470,CTDSP2,NA
GO:0006470,PTPRR,NA
GO:0007052,DYNC1H1,DYNC1H1
GO:0007052,CDC14B,CDC14B
GO:0007052,NUP62,NUP62
GO:0007052,PIBF1,PIBF1
GO:0007052,PRC1,PRC1
GO:0007052,RAB11A,RAB11A
GO:0007052,PCNT,PCNT
GO:0007052,TACC1,TACC1
GO:0007052,PSRC1,NA
GO:0010603,CNOT1,CNOT1
GO:0010603,CNOT2,CNOT2
GO:0010603,PAN2,PAN2
GO:0010631,RAB11A,RAB11A
GO:0010631,PRKCA,PRKCA
GO:0010631,SPRED1,SPRED1
GO:0010631,MET,MET
GO:0010631,ADAMTS9,NA
GO:0010631,HRG,NA
GO:0010631,MEOX2,NA
GO:0010631,SASH1,NA
GO:0010631,AMOTL1,NA
GO:0010631,BMPR2,NA
GO:0010631,PRSS3,NA
GO:0010631,PTPRR,NA
GO:0010631,RTN4,NA
GO:0010631,TGFBR2,NA
GO:0010632,RAB11A,RAB11A
GO:0010632,PRKCA,PRKCA
GO:0010632,SPRED1,SPRED1
GO:0010632,MET,MET
GO:0010632,ADAMTS9,NA
GO:0010632,HRG,NA
GO:0010632,MEOX2,NA
GO:0010632,SASH1,NA
GO:0010632,AMOTL1,NA
GO:0010632,BMPR2,NA
GO:0010632,PTPRR,NA
GO:0010632,RTN4,NA
GO:0010632,TGFBR2,NA
GO:0022613,CELF3,CELF3
GO:0022613,CNOT1,CNOT1
GO:0022613,CNOT2,CNOT2
GO:0022613,DYNC1H1,DYNC1H1
GO:0022613,EIF3E,EIF3E
GO:0022613,EIF4B,EIF4B
GO:0022613,G3BP1,G3BP1
GO:0022613,GEMIN8,GEMIN8
GO:0022613,NAF1,NAF1
GO:0022613,PAN2,PAN2
GO:0022613,RPF2,RPF2
GO:0022613,USP4,USP4
GO:0022613,ATM,ATM
GO:0022613,GEMIN4,GEMIN4
GO:0022613,CEBPZ,CEBPZ
GO:0022613,FCF1,FCF1
GO:0022613,NOB1,NOB1
GO:0022613,WBP11,WBP11
GO:0022613,YBEY,YBEY
GO:0022613,RPS27,NA
GO:0022618,CELF3,CELF3
GO:0022618,CNOT1,CNOT1
GO:0022618,CNOT2,CNOT2
GO:0022618,DYNC1H1,DYNC1H1
GO:0022618,EIF3E,EIF3E
